Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFN-5D23;01/09/2025 00:00:00 - 30/09/2025 23:59:59;93:38:30;80:49:08;12:49:22;441:09:13;2999,31;$ 0,00;$ 0,00;162
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 06:59:16 - 02/09/2025 07:00:02;Ligado;00:00:46;00:00:00;00:00:46; - ;0.00;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 07:00:02 - 02/09/2025 07:00:05;Desligado; - ; - ; - ;00:00:03; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 07:00:05 - 02/09/2025 07:00:34;Ligado;00:00:29;00:00:00;00:00:29; - ;0.00;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 07:00:34 - 02/09/2025 11:03:32;Desligado; - ; - ; - ;04:02:58; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 11:03:32 - 02/09/2025 11:54:39;Ligado;00:51:07;00:40:02;00:11:05; - ;25.27;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;Palminopolis -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 11:54:39 - 02/09/2025 11:54:40;Desligado; - ; - ; - ;00:00:01; - ;Palminopolis, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 11:54:40 - 02/09/2025 12:29:31;Ligado;00:34:51;00:31:20;00:03:31; - ;20.05;Palminopolis -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 12:29:31 - 02/09/2025 12:30:14;Desligado; - ; - ; - ;00:00:43; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 12:30:14 - 02/09/2025 13:36:14;Ligado;01:06:00;00:56:50;00:09:10; - ;30.92;Jandaia -  GO -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;02/09/2025 13:36:14 - 02/09/2025 17:03:45;Desligado; - ; - ; - ;03:27:31; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
