Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFN-5D23;01/09/2025 00:00:00 - 30/09/2025 23:59:59;93:38:30;80:49:08;12:49:22;441:09:13;2999,31;$ 0,00;$ 0,00;162
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 11:10:31 - 03/09/2025 11:17:31;Ligado;00:07:00;00:06:04;00:00:56; - ;2.01;Jandaia -  GO -  Brasil;Avenida Eliziario Luiz da Costa -  85 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 11:17:31 - 03/09/2025 11:21:42;Desligado; - ; - ; - ;00:04:11; - ;Avenida Eliziario Luiz da Costa, 85, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 11:21:42 - 03/09/2025 13:21:27;Ligado;01:59:45;01:51:03;00:08:42; - ;71.96;Avenida Eliziario Luiz da Costa -  85 -  Jandaia - GO -  75950-000 -  Brasil;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 13:21:27 - 03/09/2025 13:30:23;Desligado; - ; - ; - ;00:08:56; - ;GO-320, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 13:30:23 - 03/09/2025 13:30:48;Ligado;00:00:25;00:00:00;00:00:25; - ;0.00;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 13:30:48 - 03/09/2025 13:34:43;Desligado; - ; - ; - ;00:03:55; - ;GO-320, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 13:34:43 - 03/09/2025 13:37:24;Ligado;00:02:41;00:02:13;00:00:28; - ;0.87;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  308 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 13:37:24 - 03/09/2025 13:42:35;Desligado; - ; - ; - ;00:05:11; - ;Rua Jose Faria Campos, 308, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 13:42:35 - 03/09/2025 13:46:02;Ligado;00:03:27;00:02:41;00:00:46; - ;0.78;Rua Jose Faria Campos -  308 -  Jandaia - GO -  75950-000 -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 13:46:02 - 03/09/2025 16:54:09;Desligado; - ; - ; - ;03:08:07; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 16:54:09 - 03/09/2025 16:57:57;Ligado;00:03:48;00:02:20;00:01:28; - ;0.85;Rua da Republica -  283 -  Jandaia - GO -  75950-000 -  Brasil;Rua F-Dois -  88 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 16:57:57 - 03/09/2025 17:02:01;Desligado; - ; - ; - ;00:04:04; - ;Rua F-Dois, 88, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 17:02:01 - 03/09/2025 17:18:19;Ligado;00:16:18;00:09:48;00:06:30; - ;2.87;Rua F-Dois -  88 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 17:18:19 - 03/09/2025 17:22:02;Desligado; - ; - ; - ;00:03:43; - ;Avenida Eliziario Luiz da Costa, 111, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 17:22:02 - 03/09/2025 18:49:00;Ligado;01:26:58;01:17:07;00:09:51; - ;50.06;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;03/09/2025 18:49:00 - 04/09/2025 05:05:06;Desligado; - ; - ; - ;10:16:06; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 05:05:06 - 04/09/2025 06:55:40;Ligado;01:50:34;01:38:33;00:12:01; - ;66.88;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Dona Gercina Borges -  459 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 06:55:40 - 04/09/2025 07:01:28;Desligado; - ; - ; - ;00:05:48; - ;Avenida Dona Gercina Borges, 459, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 07:01:28 - 04/09/2025 07:04:41;Ligado;00:03:13;00:01:42;00:01:31; - ;0.56;Avenida Dona Gercina Borges -  459 -  Jandaia - GO -  75950-000 -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 07:04:41 - 04/09/2025 11:00:51;Desligado; - ; - ; - ;03:56:10; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 11:00:51 - 04/09/2025 11:04:50;Ligado;00:03:59;00:02:19;00:01:40; - ;0.89;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;Rua Tres -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 11:04:50 - 04/09/2025 11:11:59;Desligado; - ; - ; - ;00:07:09; - ;Rua Tres, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 11:11:59 - 04/09/2025 11:18:41;Ligado;00:06:42;00:06:20;00:00:22; - ;1.92;Rua Tres -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 11:18:41 - 04/09/2025 11:22:07;Desligado; - ; - ; - ;00:03:26; - ;Avenida Eliziario Luiz da Costa, 111, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 11:22:07 - 04/09/2025 13:26:29;Ligado;02:04:22;01:57:00;00:07:22; - ;75.91;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;Rua F-Um -  121 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 13:26:29 - 04/09/2025 13:27:38;Desligado; - ; - ; - ;00:01:09; - ;Rua F-Um, 121, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 13:27:38 - 04/09/2025 13:31:54;Ligado;00:04:16;00:03:57;00:00:19; - ;0.93;Rua F-Um -  121 -  Jandaia - GO -  75950-000 -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 13:31:54 - 04/09/2025 16:56:43;Desligado; - ; - ; - ;03:24:49; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 16:56:43 - 04/09/2025 17:01:57;Ligado;00:05:14;00:03:04;00:02:10; - ;0.84;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 17:01:57 - 04/09/2025 17:07:42;Desligado; - ; - ; - ;00:05:45; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 17:07:42 - 04/09/2025 17:08:56;Ligado;00:01:14;00:00:00;00:01:14; - ;0.04;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 17:08:56 - 04/09/2025 17:12:13;Desligado; - ; - ; - ;00:03:17; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 17:12:13 - 04/09/2025 17:41:23;Ligado;00:29:10;00:24:37;00:04:33; - ;11.31;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 17:41:23 - 04/09/2025 17:42:22;Desligado; - ; - ; - ;00:00:59; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 17:42:22 - 04/09/2025 19:19:40;Ligado;01:37:18;01:23:52;00:13:26; - ;49.13;Jandaia -  GO -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;04/09/2025 19:19:40 - 05/09/2025 05:10:16;Desligado; - ; - ; - ;09:50:36; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;05/09/2025 05:10:16 - 05/09/2025 06:47:19;Ligado;01:37:03;01:25:25;00:11:38; - ;58.29;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;Rua da Republica -  326 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;05/09/2025 06:47:19 - 05/09/2025 11:08:48;Desligado; - ; - ; - ;04:21:29; - ;Rua da Republica, 326, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFN-5D23;TFN-5D23;05/09/2025 11:08:48 - 05/09/2025 11:17:59;Ligado;00:09:11;00:08:10;00:01:01; - ;2.60;Rua da Republica -  326 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
