Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFP-8H93;01/09/2025 00:00:00 - 30/09/2025 23:59:59;88:47:55;81:50:46;06:57:09;476:33:14;2917,30;$ 0,00;$ 0,00;185
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 13:09:34 - 01/09/2025 13:09:53;Ligado;00:00:19;00:00:00;00:00:19; - ;0.00;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 13:09:53 - 01/09/2025 16:40:47;Desligado; - ; - ; - ;03:30:54; - ;Avenida Galdino A. de Sousa, 384, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 16:40:47 - 01/09/2025 16:48:47;Ligado;00:08:00;00:04:51;00:03:09; - ;1.97;Avenida Galdino A. de Sousa -  362 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 16:48:47 - 01/09/2025 17:11:40;Desligado; - ; - ; - ;00:22:53; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 17:11:40 - 01/09/2025 17:16:56;Ligado;00:05:16;00:04:49;00:00:27; - ;1.83;Rua Dois -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  56 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 17:16:56 - 01/09/2025 17:21:21;Desligado; - ; - ; - ;00:04:25; - ;Rua Jose Faria Campos, 56, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 17:21:21 - 01/09/2025 18:05:28;Ligado;00:44:07;00:41:46;00:02:21; - ;25.41;Rua Jose Faria Campos -  56 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 18:05:28 - 01/09/2025 18:05:29;Desligado; - ; - ; - ;00:00:01; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 18:05:29 - 01/09/2025 18:05:43;Ligado;00:00:14;00:00:00;00:00:14; - ;0.00;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFP-8H93;TFP-8H93;01/09/2025 18:05:43 - 01/09/2025 18:08:59;Desligado; - ; - ; - ;00:03:16; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
