Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFE-6D41;01/09/2025 00:00:00 - 30/09/2025 23:59:59;89:48:19;78:35:54;11:12:25;460:54:44;3208,96;$ 0,00;$ 0,00;255
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;01/09/2025 17:14:55 - 01/09/2025 17:15:24;Ligado;00:00:29;00:00:00;00:00:29; - ;0.01;Avenida Eliziario Luiz da Costa -  131 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  131 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;01/09/2025 17:15:24 - 01/09/2025 17:22:02;Desligado; - ; - ; - ;00:06:38; - ;Avenida Eliziario Luiz da Costa, 131, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;01/09/2025 17:22:02 - 01/09/2025 18:46:46;Ligado;01:24:44;01:21:28;00:03:16; - ;72.74;Avenida Eliziario Luiz da Costa -  131 -  Jandaia - GO -  75950-000 -  Brasil;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;01/09/2025 18:46:46 - 01/09/2025 20:19:02;Desligado; - ; - ; - ;01:32:16; - ;Avenida A, 293, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;01/09/2025 20:19:02 - 01/09/2025 20:20:57;Ligado;00:01:55;00:01:01;00:00:54; - ;0.06;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;01/09/2025 20:20:57 - 02/09/2025 05:19:29;Desligado; - ; - ; - ;08:58:32; - ;Avenida A, 293, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 05:19:29 - 02/09/2025 06:49:09;Ligado;01:29:40;01:20:18;00:09:22; - ;53.31;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;Rua Manoel M. Borges -  311 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 06:49:09 - 02/09/2025 07:18:37;Desligado; - ; - ; - ;00:29:28; - ;Rua Manoel M. Borges, 311, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 07:18:37 - 02/09/2025 07:20:27;Ligado;00:01:50;00:01:10;00:00:40; - ;0.53;Rua Manoel M. Borges -  311 -  Jandaia - GO -  75950-000 -  Brasil;Rua da Republica -  301 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 07:20:27 - 02/09/2025 07:27:25;Desligado; - ; - ; - ;00:06:58; - ;Rua da Republica, 301, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 07:27:25 - 02/09/2025 07:30:52;Ligado;00:03:27;00:02:49;00:00:38; - ;1.19;Avenida Santos Dumont -  330 -  Jandaia - GO -  75950-000 -  Brasil;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 07:30:52 - 02/09/2025 07:31:38;Desligado; - ; - ; - ;00:00:46; - ;Avenida A, 293, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 07:31:38 - 02/09/2025 07:32:08;Ligado;00:00:30;00:00:00;00:00:30; - ;0.00;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;Avenida A -  293 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 07:32:08 - 02/09/2025 10:48:15;Desligado; - ; - ; - ;03:16:07; - ;Avenida A, 293, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 10:48:15 - 02/09/2025 10:54:14;Ligado;00:05:59;00:04:51;00:01:08; - ;1.79;Avenida A -  290 -  Jandaia - GO -  75950-000 -  Brasil;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 10:54:14 - 02/09/2025 10:59:59;Desligado; - ; - ; - ;00:05:45; - ;Rua Pl, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 10:59:59 - 02/09/2025 11:04:52;Ligado;00:04:53;00:03:48;00:01:05; - ;1.39;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  131 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 11:04:52 - 02/09/2025 11:21:39;Desligado; - ; - ; - ;00:16:47; - ;Avenida Eliziario Luiz da Costa, 131, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 11:21:39 - 02/09/2025 13:00:25;Ligado;01:38:46;01:34:16;00:04:30; - ;56.22;Avenida Eliziario Luiz da Costa -  131 -  Jandaia - GO -  75950-000 -  Brasil;Rua F-Sete -  20 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 13:00:25 - 02/09/2025 13:01:42;Desligado; - ; - ; - ;00:01:17; - ;Rua F-Sete, 20, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 13:01:42 - 02/09/2025 13:02:00;Ligado;00:00:18;00:00:00;00:00:18; - ;0.00;Rua F-Sete -  20 -  Jandaia - GO -  75950-000 -  Brasil;Rua F-Sete -  20 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 13:02:00 - 02/09/2025 16:46:05;Desligado; - ; - ; - ;03:44:05; - ;Rua F-Sete, 20, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 16:46:05 - 02/09/2025 16:47:51;Ligado;00:01:46;00:01:32;00:00:14; - ;0.47;Rua F-Sete -  46 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 16:47:51 - 02/09/2025 16:49:50;Desligado; - ; - ; - ;00:01:59; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 16:49:50 - 02/09/2025 16:51:19;Ligado;00:01:29;00:00:00;00:01:29; - ;0.02;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 16:51:19 - 02/09/2025 17:11:27;Desligado; - ; - ; - ;00:20:08; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 17:11:27 - 02/09/2025 17:17:12;Ligado;00:05:45;00:04:38;00:01:07; - ;1.75;Jandaia -  GO -  Brasil;Rua Jose Faria Campos -  56 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 17:17:12 - 02/09/2025 17:17:14;Desligado; - ; - ; - ;00:00:02; - ;Rua Jose Faria Campos, 56, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 17:17:14 - 02/09/2025 17:18:04;Ligado;00:00:50;00:00:00;00:00:50; - ;0.00;Rua Jose Faria Campos -  56 -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  56 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 17:18:04 - 02/09/2025 17:21:21;Desligado; - ; - ; - ;00:03:17; - ;Rua Jose Faria Campos, 56, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 17:21:21 - 02/09/2025 18:57:28;Ligado;01:36:07;01:30:29;00:05:38; - ;79.85;Rua Jose Faria Campos -  56 -  Jandaia - GO -  75950-000 -  Brasil;Rua F-Cinco -  60 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 18:57:28 - 02/09/2025 19:16:19;Desligado; - ; - ; - ;00:18:51; - ;Rua F-Cinco, 60, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 19:16:19 - 02/09/2025 19:17:57;Ligado;00:01:38;00:01:04;00:00:34; - ;0.21;Rua F-Cinco -  60 -  Jandaia - GO -  75950-000 -  Brasil;Avenida A -  285 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFE-6D41;TFE-6D41;02/09/2025 19:17:57 - 02/09/2025 20:15:36;Desligado; - ; - ; - ;00:57:39; - ;Avenida A, 285, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
