Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TGB-4F03;01/09/2025 00:00:00 - 30/09/2025 23:59:59;143:51:28;120:59:22;22:52:06;395:40:46;3226,64;$ 0,00;$ 0,00;196
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 16:30:38 - 01/09/2025 16:32:06;Ligado;00:01:28;00:00:27;00:01:01; - ;0.64;GO-162 -  Jandaia - GO -  75950-000 -  Brasil;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 16:32:06 - 01/09/2025 16:38:02;Desligado; - ; - ; - ;00:05:56; - ;GO-320, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 16:38:02 - 01/09/2025 16:43:36;Ligado;00:05:34;00:04:45;00:00:49; - ;2.54;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 16:43:36 - 01/09/2025 16:44:03;Desligado; - ; - ; - ;00:00:27; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 16:44:03 - 01/09/2025 16:44:08;Ligado;00:00:05;00:00:00;00:00:05; - ;0.00;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 16:44:08 - 01/09/2025 17:11:52;Desligado; - ; - ; - ;00:27:44; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 17:11:52 - 01/09/2025 17:16:55;Ligado;00:05:03;00:04:33;00:00:30; - ;1.72;Rua Dois -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 17:16:55 - 01/09/2025 17:21:50;Desligado; - ; - ; - ;00:04:55; - ;Avenida Eliziario Luiz da Costa, 111, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 17:21:50 - 01/09/2025 18:34:49;Ligado;01:12:59;01:11:03;00:01:56; - ;47.37;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;Rua Beraldo Caetano Gomes -  513 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 18:34:49 - 01/09/2025 21:07:00;Desligado; - ; - ; - ;02:32:11; - ;Rua Beraldo Caetano Gomes, 513, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 21:07:00 - 01/09/2025 21:10:29;Ligado;00:03:29;00:02:55;00:00:34; - ;1.47;Rua Beraldo Caetano Gomes -  480 -  Jandaia - GO -  75950-000 -  Brasil;Rua PR -  201 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 21:10:29 - 01/09/2025 22:23:54;Desligado; - ; - ; - ;01:13:25; - ;Rua PR, 201, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 22:23:54 - 01/09/2025 22:41:55;Ligado;00:18:01;00:13:48;00:04:13; - ;5.85;Rua PR -  201 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 22:41:55 - 01/09/2025 22:47:23;Desligado; - ; - ; - ;00:05:28; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 22:47:23 - 01/09/2025 22:47:35;Ligado;00:00:12;00:00:00;00:00:12; - ;0.00;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;01/09/2025 22:47:35 - 02/09/2025 05:02:44;Desligado; - ; - ; - ;06:15:09; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 05:02:44 - 02/09/2025 06:59:15;Ligado;01:56:31;01:38:19;00:18:12; - ;55.15;Jandaia -  GO -  Brasil;Avenida Dona Gercina Borges -  459 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 06:59:15 - 02/09/2025 07:04:38;Desligado; - ; - ; - ;00:05:23; - ;Avenida Dona Gercina Borges, 459, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 07:04:38 - 02/09/2025 07:18:09;Ligado;00:13:31;00:00:00;00:13:31; - ;0.00;Avenida Dona Gercina Borges -  459 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Dona Gercina Borges -  459 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 07:18:09 - 02/09/2025 07:24:34;Desligado; - ; - ; - ;00:06:25; - ;Avenida Dona Gercina Borges, 459, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 07:24:34 - 02/09/2025 07:25:35;Ligado;00:01:01;00:00:00;00:01:01; - ;0.00;Avenida Dona Gercina Borges -  459 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Dona Gercina Borges -  459 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 07:25:35 - 02/09/2025 07:27:53;Desligado; - ; - ; - ;00:02:18; - ;Avenida Dona Gercina Borges, 459, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 07:27:53 - 02/09/2025 07:48:54;Ligado;00:21:01;00:11:21;00:09:40; - ;4.71;Avenida Dona Gercina Borges -  459 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 07:48:54 - 02/09/2025 10:42:18;Desligado; - ; - ; - ;02:53:24; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 10:42:18 - 02/09/2025 10:58:20;Ligado;00:16:02;00:10:34;00:05:28; - ;6.05;Jandaia -  GO -  Brasil;Rua Ptn -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 10:58:20 - 02/09/2025 11:06:15;Desligado; - ; - ; - ;00:07:55; - ;Rua Ptn, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 11:06:15 - 02/09/2025 11:18:43;Ligado;00:12:28;00:11:55;00:00:33; - ;4.57;Rua Ptn -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 11:18:43 - 02/09/2025 11:21:22;Desligado; - ; - ; - ;00:02:39; - ;Avenida Eliziario Luiz da Costa, 111, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 11:21:22 - 02/09/2025 13:21:45;Ligado;02:00:23;01:47:47;00:12:36; - ;60.47;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 13:21:45 - 02/09/2025 13:51:42;Desligado; - ; - ; - ;00:29:57; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 13:51:42 - 02/09/2025 14:22:26;Ligado;00:30:44;00:00:00;00:30:44; - ;0.00;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 14:22:26 - 02/09/2025 16:36:42;Desligado; - ; - ; - ;02:14:16; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 16:36:42 - 02/09/2025 16:54:32;Ligado;00:17:50;00:14:11;00:03:39; - ;6.17;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 16:54:32 - 02/09/2025 17:11:27;Desligado; - ; - ; - ;00:16:55; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 17:11:27 - 02/09/2025 17:17:05;Ligado;00:05:38;00:04:58;00:00:40; - ;1.79;Rua da Liberdade -  475 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  131 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 17:17:05 - 02/09/2025 17:21:29;Desligado; - ; - ; - ;00:04:24; - ;Avenida Eliziario Luiz da Costa, 131, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 17:21:29 - 02/09/2025 18:53:00;Ligado;01:31:31;01:18:53;00:12:38; - ;49.68;Avenida Eliziario Luiz da Costa -  131 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 18:53:00 - 02/09/2025 19:42:40;Desligado; - ; - ; - ;00:49:40; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 19:42:40 - 02/09/2025 19:43:33;Ligado;00:00:53;00:00:00;00:00:53; - ;0.03;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;02/09/2025 19:43:33 - 03/09/2025 05:00:49;Desligado; - ; - ; - ;09:17:16; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 05:00:49 - 03/09/2025 06:54:09;Ligado;01:53:20;01:36:43;00:16:37; - ;56.31;Jandaia -  GO -  Brasil;Avenida Juscelino Kubitschek de Oliveira -  581 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 06:54:09 - 03/09/2025 07:20:19;Desligado; - ; - ; - ;00:26:10; - ;Avenida Juscelino Kubitschek de Oliveira, 581, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 07:20:19 - 03/09/2025 07:38:52;Ligado;00:18:33;00:10:56;00:07:37; - ;4.93;Avenida Juscelino Kubitschek de Oliveira -  581 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 07:38:52 - 03/09/2025 10:38:51;Desligado; - ; - ; - ;02:59:59; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 10:38:51 - 03/09/2025 10:52:49;Ligado;00:13:58;00:10:33;00:03:25; - ;5.77;Jandaia -  GO -  Brasil;Rua Ptn -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 10:52:49 - 03/09/2025 11:01:10;Desligado; - ; - ; - ;00:08:21; - ;Rua Ptn, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 11:01:10 - 03/09/2025 11:16:19;Ligado;00:15:09;00:10:08;00:05:01; - ;4.44;Rua Ptn -  Jandaia - GO -  75950-000 -  Brasil;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 11:16:19 - 03/09/2025 11:21:28;Desligado; - ; - ; - ;00:05:09; - ;Avenida Eliziario Luiz da Costa, 111, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 11:21:28 - 03/09/2025 13:22:50;Ligado;02:01:22;01:51:34;00:09:48; - ;60.56;Avenida Eliziario Luiz da Costa -  111 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 13:22:50 - 03/09/2025 16:32:33;Desligado; - ; - ; - ;03:09:43; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 16:32:33 - 03/09/2025 16:49:17;Ligado;00:16:44;00:12:00;00:04:44; - ;5.75;Jandaia -  GO -  Brasil;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 16:49:17 - 03/09/2025 16:54:18;Desligado; - ; - ; - ;00:05:01; - ;GO-320, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 16:54:18 - 03/09/2025 16:59:38;Ligado;00:05:20;00:04:51;00:00:29; - ;2.49;GO-320 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 16:59:38 - 03/09/2025 17:12:30;Desligado; - ; - ; - ;00:12:52; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 17:12:30 - 03/09/2025 17:17:52;Ligado;00:05:22;00:04:36;00:00:46; - ;1.86;Jandaia -  GO -  Brasil;Avenida Eliziario Luiz da Costa -  85 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 17:17:52 - 03/09/2025 17:22:03;Desligado; - ; - ; - ;00:04:11; - ;Avenida Eliziario Luiz da Costa, 85, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 17:22:03 - 03/09/2025 18:50:49;Ligado;01:28:46;01:20:00;00:08:46; - ;49.86;Avenida Eliziario Luiz da Costa -  85 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 18:50:49 - 03/09/2025 19:26:26;Desligado; - ; - ; - ;00:35:37; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 19:26:26 - 03/09/2025 19:27:09;Ligado;00:00:43;00:00:00;00:00:43; - ;0.00;Jandaia -  GO -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;03/09/2025 19:27:09 - 04/09/2025 04:55:58;Desligado; - ; - ; - ;09:28:49; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;04/09/2025 04:55:58 - 04/09/2025 06:59:35;Ligado;02:03:37;01:39:54;00:23:43; - ;54.90;Jandaia -  GO -  Brasil;GO-162 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;04/09/2025 06:59:35 - 04/09/2025 07:01:14;Desligado; - ; - ; - ;00:01:39; - ;GO-162, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;04/09/2025 07:01:14 - 04/09/2025 07:07:57;Ligado;00:06:43;00:03:26;00:03:17; - ;1.60;GO-162 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Governador dos Mutiroes -  358 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TGB-4F03;TGB-4F03;04/09/2025 07:07:57 - 04/09/2025 07:57:52;Desligado; - ; - ; - ;00:49:55; - ;Avenida Governador dos Mutiroes, 358, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
