Cliente;Ativo Selecionado;Período;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Custo (Km/L);Custo (L/H);Deslocamentos
JANDAIA;TFK-9J63;01/09/2025 00:00:00 - 30/09/2025 23:59:59;101:05:18;85:32:43;15:32:35;411:51:51;2822,98;$ 0,00;$ 0,00;195
Cliente;Período;Ativo;Placa;Período;Status;Tempo total ligado;Tempo em movimento;Tempo ocioso;Tempo desligado;Odômetro (Km);Origem;Destino;Custo (Km/L);Custo (L/H);Ponto de referência;Motorista
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 17:21:16 - 01/09/2025 18:48:22;Ligado;01:27:06;01:17:00;00:10:06; - ;47.89;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;01/09/2025 18:48:22 - 02/09/2025 04:43:32;Desligado; - ; - ; - ;09:55:10; - ;Avenida Afonso Pena, 2, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 04:43:32 - 02/09/2025 06:45:38;Ligado;02:02:06;01:44:56;00:17:10; - ;53.09;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Rua Manoel M. Borges -  309 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 06:45:38 - 02/09/2025 06:47:47;Desligado; - ; - ; - ;00:02:09; - ;Rua Manoel M. Borges, 309, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 06:47:47 - 02/09/2025 06:51:38;Ligado;00:03:51;00:02:51;00:01:00; - ;0.93;Rua Manoel M. Borges -  309 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 06:51:38 - 02/09/2025 10:37:36;Desligado; - ; - ; - ;03:45:58; - ;Avenida Afonso Pena, 2, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 10:37:36 - 02/09/2025 10:44:29;Ligado;00:06:53;00:05:41;00:01:12; - ;1.46;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Rua Pl -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 10:44:29 - 02/09/2025 11:00:25;Desligado; - ; - ; - ;00:15:56; - ;Rua Pl, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 11:00:25 - 02/09/2025 11:09:06;Ligado;00:08:41;00:06:41;00:02:00; - ;2.37;Rua Jerusalem -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 11:09:06 - 02/09/2025 11:12:01;Desligado; - ; - ; - ;00:02:55; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 11:12:01 - 02/09/2025 11:16:33;Ligado;00:04:32;00:03:32;00:01:00; - ;1.66;Jandaia -  GO -  Brasil;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 11:16:33 - 02/09/2025 11:20:49;Desligado; - ; - ; - ;00:04:16; - ;Rua Jose Faria Campos, 112, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 11:20:49 - 02/09/2025 11:20:49;Ligado;00:00:00;00:00:00;00:00:00; - ;0.00;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 11:20:49 - 02/09/2025 11:21:49;Desligado; - ; - ; - ;00:01:00; - ;Rua Jose Faria Campos, 112, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 11:21:49 - 02/09/2025 13:12:39;Ligado;01:50:50;01:41:50;00:09:00; - ;59.04;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 13:12:39 - 02/09/2025 13:15:07;Desligado; - ; - ; - ;00:02:28; - ;Rua Jose Faria Campos, 112, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 13:15:07 - 02/09/2025 13:22:44;Ligado;00:07:37;00:05:00;00:02:37; - ;2.70;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 13:22:44 - 02/09/2025 16:46:07;Desligado; - ; - ; - ;03:23:23; - ;Avenida Afonso Pena, 2, Jandaia - GO, 75950-000, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 16:46:07 - 02/09/2025 16:56:22;Ligado;00:10:15;00:06:00;00:04:15; - ;1.28;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Jandaia -  GO -  Brasil;$ 0,00;$ 0,00; - ;""
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 16:56:22 - 02/09/2025 17:12:13;Desligado; - ; - ; - ;00:15:51; - ;Jandaia, GO, Brasil; - ; - ; - ; - ; - 
JANDAIA;01/09/2025 00:00:00 - 30/09/2025 23:59:59;TFK-9J63;TFK-9J63;02/09/2025 17:12:13 - 02/09/2025 17:17:20;Ligado;00:05:07;00:04:00;00:01:07; - ;1.31;Rua Dois -  Jandaia - GO -  75950-000 -  Brasil;Rua Jose Faria Campos -  112 -  Jandaia - GO -  75950-000 -  Brasil;$ 0,00;$ 0,00; - ;""
